module	file	function_or_rule	current_status	problem_type	severity	required_fix	blocking_for_mvp	test_needed
snakemake	workflow/Snakefile	rule all	resolved: default all now targets MVP outputs and writes content-bearing all_mvp.complete	placeholder_code	critical	MVP all target implemented; all_full kept explicit for configured non-MVP modules	false	snakemake all --cores 1 --configfile tests/fixtures/config/test_config.yaml passed
fixtures	tests/fixtures/config/test_config.yaml	MVP fixture config	resolved: fixture config and data added	missing_implementation	critical	Fixture covers reviewed manifest, contrasts, dataset plan, bulk counts, single-cell counts, ontology	false	snakemake all fixture passed
provenance	workflow/scripts/run_mvp_pipeline.py	write_provenance	resolved for MVP: result/input/checksum/manifest provenance generated	missing_provenance	critical	Full rule-level provenance remains future enhancement for all_full	false	result_file_provenance.tsv generated non-empty
validation	workflow/scripts/run_mvp_pipeline.py	validate_manifest	resolved for MVP: manifest/contrast/plan/design/count matrix checks run and critical errors stop	unsafe_metadata_handling	critical	Reuse existing full validators for non-MVP mode	false	pytest and mvp e2e passed
bulk	workflow/scripts/run_mvp_pipeline.py	write_bulk_outputs	resolved for MVP: raw integer count validation, QC, normalized counts, PCA coordinates; no fake DESeq2	missing_implementation	high	Formal DESeq2 requires R/DESeq2; environment error is explicit when unavailable	false	deseq2_environment_error_case_vs_control.tsv non-empty
single_cell	workflow/scripts/run_mvp_pipeline.py	write_single_cell_and_pseudobulk	resolved for MVP: processed h5ad with counts layer, cell QC, sample cell counts	missing_implementation	high	Advanced clustering remains non-MVP	false	processed.h5ad and cell_qc.tsv generated
pseudobulk	workflow/scripts/run_mvp_pipeline.py	write_single_cell_and_pseudobulk	resolved for MVP: subject-level cell-type raw count aggregation and eligibility tables	unsafe_biology	high	Formal pseudobulk DESeq2 requires R/DESeq2 and is not faked	false	pseudobulk_counts_Tcell.tsv generated
meta	workflow/scripts/run_mvp_pipeline.py	write_meta	resolved for MVP skip path: no inverse-variance meta without DESeq2 lfcSE	missing_implementation	medium	Full meta implementation exists in multi_dataset_common; MVP writes explicit skipped status	false	meta_results_case_vs_control.tsv generated non-empty
integration	workflow/scripts/run_mvp_pipeline.py	write_integration	resolved for MVP: identity gene mapping and expression-derived potential cellular source	missing_implementation	medium	No causal wording; full integration remains configurable	false	gene_celltype_mapping.tsv generated non-empty
adapter	workflow/scripts/dataset_adapters.py	generic_bulk_matrix/generic_10x	resolved: adapter registry and two generic adapters added with tests	missing_implementation	high	Adapters cannot write final biological fields	false	pytest adapter tests passed
containers	containers	Dockerfile/apptainer.def/build scripts	resolved static support: files added, no build claimed	missing_implementation	medium	Real image build not run in this session	false	static unit test passed
ci	.github/workflows/ci.yml	GitHub Actions	resolved static support: unit/default dry-run/MVP e2e jobs added	missing_implementation	medium	Remote CI not run in this local session	false	static unit test passed
single_cell	workflow/scripts/preprocess_single_cell_dataset.py	placeholder_plot	known non-MVP limitation: advanced plot placeholders remain outside default all	placeholder_code	medium	Replace with explicit skipped plot status in future full single-cell phase	false	not in MVP all target
advanced	workflow/rules/*	all_full	known non-MVP limitation: FASTQ reanalysis, WGCNA, full deconvolution, scVI/Harmony not in default all	missing_implementation	low	Run only when configured and environment/data are available	false	not in MVP all target
